tanggal,waktu,sumber,moisture0,moisture1,moisture2,moisture3,moisture4,irrgation
06/03/2020,22:16:11,plant_vase1,0.7,0.64,0.73,0.4,0.02,False
06/03/2020,22:16:11,plant_vase1_2,0.33,0.4,0.36,0.23,0.02,False
06/03/2020,22:17:11,plant_vase1,0.7,0.64,0.71,0.39,0.02,False
06/03/2020,22:17:11,plant_vase1_2,0.32,0.39,0.35,0.23,0.02,False
06/03/2020,22:18:11,plant_vase1,0.69,0.63,0.7,0.39,0.02,False
06/03/2020,22:18:11,plant_vase1_2,0.31,0.39,0.34,0.22,0.02,False
06/03/2020,22:19:11,plant_vase1,0.69,0.63,0.7,0.39,0.02,False
06/03/2020,22:19:11,plant_vase1_2,0.3,0.38,0.33,0.21,0.02,False
06/03/2020,22:20:12,plant_vase1,0.69,0.62,0.69,0.39,0.02,False
06/03/2020,22:20:11,plant_vase1_2,0.29,0.38,0.33,0.21,0.02,False
06/03/2020,22:21:12,plant_vase1,0.68,0.62,0.69,0.39,0.02,False
06/03/2020,22:21:11,plant_vase1_2,0.28,0.38,0.33,0.21,0.02,False
06/03/2020,22:22:12,plant_vase1,0.69,0.62,0.69,0.39,0.02,False
06/03/2020,22:22:12,plant_vase1_2,0.28,0.37,0.33,0.2,0.02,False
06/03/2020,22:23:12,plant_vase1,0.69,0.62,0.68,0.39,0.02,False
06/03/2020,22:23:12,plant_vase1_2,0.27,0.37,0.33,0.19,0.02,False
06/03/2020,22:24:12,plant_vase1,0.68,0.62,0.68,0.39,0.03,False
06/03/2020,22:24:12,plant_vase1_2,0.3,0.38,0.35,0.2,0.03,False
06/03/2020,22:25:12,plant_vase1,0.68,0.62,0.68,0.39,0.02,False
06/03/2020,22:25:12,plant_vase1_2,0.26,0.36,0.34,0.17,0.02,False
06/03/2020,22:26:12,plant_vase1,0.68,0.62,0.67,0.39,0.02,False
06/03/2020,22:26:12,plant_vase1_2,0.26,0.36,0.34,0.17,0.02,False
06/03/2020,22:27:12,plant_vase1,0.68,0.62,0.67,0.39,0.02,False
06/03/2020,22:27:12,plant_vase1_2,0.25,0.36,0.34,0.17,0.02,False
06/03/2020,22:28:12,plant_vase1,0.68,0.62,0.68,0.39,0.02,False
06/03/2020,22:28:12,plant_vase1_2,0.25,0.36,0.34,0.17,0.02,False
06/03/2020,22:29:12,plant_vase1,0.68,0.62,0.68,0.39,0.02,False
06/03/2020,22:29:12,plant_vase1_2,0.25,0.36,0.34,0.17,0.02,False
06/03/2020,22:30:12,plant_vase1,0.68,0.62,0.68,0.39,0.02,False
06/03/2020,22:30:12,plant_vase1_2,0.24,0.36,0.34,0.16,0.02,False
06/03/2020,22:31:12,plant_vase1,0.68,0.62,0.68,0.39,0.02,False
06/03/2020,22:31:12,plant_vase1_2,0.24,0.36,0.33,0.16,0.02,False
06/03/2020,22:32:12,plant_vase1,0.68,0.62,0.68,0.4,0.02,False
06/03/2020,22:32:12,plant_vase1_2,0.24,0.36,0.29,0.16,0.02,False
06/03/2020,22:33:12,plant_vase1,0.68,0.62,0.68,0.4,0.02,False
06/03/2020,22:33:12,plant_vase1_2,0.23,0.36,0.3,0.15,0.02,False
06/03/2020,22:34:12,plant_vase1,0.68,0.62,0.68,0.41,0.03,False
06/03/2020,22:34:12,plant_vase1_2,0.23,0.36,0.29,0.18,0.03,False
06/03/2020,22:35:12,plant_vase1,0.68,0.62,0.68,0.4,0.02,False
06/03/2020,22:35:12,plant_vase1_2,0.23,0.36,0.29,0.15,0.02,False
06/03/2020,22:36:12,plant_vase1,0.68,0.62,0.68,0.41,0.02,False
06/03/2020,22:36:12,plant_vase1_2,0.23,0.36,0.29,0.15,0.02,False
06/03/2020,22:37:12,plant_vase1,0.68,0.62,0.68,0.41,0.02,False
06/03/2020,22:37:12,plant_vase1_2,0.23,0.36,0.29,0.15,0.02,False
06/03/2020,22:38:12,plant_vase1,0.68,0.62,0.68,0.41,0.02,False
06/03/2020,22:38:12,plant_vase1_2,0.23,0.36,0.29,0.15,0.02,False
06/03/2020,22:39:12,plant_vase1,0.68,0.63,0.68,0.42,0.02,False
06/03/2020,22:39:12,plant_vase1_2,0.23,0.36,0.29,0.15,0.02,False
06/03/2020,22:40:13,plant_vase1,0.68,0.63,0.69,0.42,0.02,False
06/03/2020,22:40:12,plant_vase1_2,0.23,0.36,0.29,0.15,0.02,False
06/03/2020,22:41:13,plant_vase1,0.68,0.63,0.69,0.42,0.02,False
06/03/2020,22:41:12,plant_vase1_2,0.23,0.36,0.28,0.15,0.02,False
06/03/2020,22:42:13,plant_vase1,0.68,0.63,0.69,0.42,0.02,False
06/03/2020,22:42:13,plant_vase1_2,0.22,0.36,0.28,0.15,0.02,False
06/03/2020,22:43:13,plant_vase1,0.68,0.63,0.69,0.42,0.02,False
06/03/2020,22:43:13,plant_vase1_2,0.22,0.36,0.28,0.15,0.02,False
06/03/2020,22:44:13,plant_vase1,0.68,0.63,0.69,0.42,0.02,False
06/03/2020,22:44:13,plant_vase1_2,0.22,0.36,0.28,0.15,0.02,False
06/03/2020,22:45:13,plant_vase1,0.68,0.63,0.69,0.43,0.02,False
06/03/2020,22:45:13,plant_vase1_2,0.22,0.36,0.28,0.15,0.02,False
06/03/2020,22:46:13,plant_vase1,0.68,0.63,0.69,0.43,0.02,False
06/03/2020,22:46:13,plant_vase1_2,0.22,0.36,0.28,0.15,0.02,False
06/03/2020,22:47:13,plant_vase1,0.68,0.63,0.69,0.43,0.02,False
06/03/2020,22:47:13,plant_vase1_2,0.22,0.36,0.28,0.15,0.02,False
06/03/2020,22:48:13,plant_vase1,0.68,0.63,0.69,0.43,0.02,False
06/03/2020,22:48:13,plant_vase1_2,0.22,0.36,0.28,0.15,0.02,False
06/03/2020,22:49:13,plant_vase1,0.68,0.64,0.7,0.44,0.02,False
06/03/2020,22:49:13,plant_vase1_2,0.22,0.36,0.28,0.15,0.02,False
06/03/2020,22:50:13,plant_vase1,0.68,0.64,0.7,0.44,0.02,False
06/03/2020,22:50:13,plant_vase1_2,0.22,0.36,0.27,0.16,0.02,False
06/03/2020,22:51:13,plant_vase1,0.68,0.64,0.7,0.44,0.02,False
06/03/2020,22:51:13,plant_vase1_2,0.22,0.36,0.27,0.16,0.02,False
06/03/2020,22:52:13,plant_vase1,0.69,0.64,0.7,0.44,0.02,False
06/03/2020,22:52:13,plant_vase1_2,0.22,0.36,0.27,0.16,0.02,False
06/03/2020,22:53:13,plant_vase1,0.68,0.64,0.7,0.44,0.02,False
06/03/2020,22:53:13,plant_vase1_2,0.22,0.36,0.27,0.16,0.02,False
06/03/2020,22:54:13,plant_vase1,0.68,0.64,0.7,0.44,0.02,False
06/03/2020,22:54:13,plant_vase1_2,0.22,0.33,0.27,0.15,0.02,False
06/03/2020,22:55:13,plant_vase1,0.68,0.64,0.7,0.44,0.03,False
06/03/2020,22:55:13,plant_vase1_2,0.24,0.37,0.28,0.16,0.03,False
06/03/2020,22:56:13,plant_vase1,0.68,0.64,0.7,0.44,0.02,False
06/03/2020,22:56:13,plant_vase1_2,0.23,0.34,0.27,0.11,0.02,False
06/03/2020,22:57:13,plant_vase1,0.68,0.64,0.7,0.44,0.02,False
06/03/2020,22:57:13,plant_vase1_2,0.23,0.36,0.26,0.13,0.02,False
06/03/2020,22:58:13,plant_vase1,0.68,0.64,0.71,0.44,0.02,False
